Facility ID,Name,Address,City,State,Zip,Location confidence,Purpose,Operator,Tenant,Location determination,Info source 1,Info source 2,Info source 3,Info source 4,Info source 5,Info source 6,Info source 7,Info source 8,Lat,Long,Date created,Date updated,SizeRank (numeric),Power source,Number of buildings,Cooling source,Facility size (sq ft),Cooling type,Property Size (acres),Project cost,Other info,Status,Status detail,Expected date online,County,Community push-back,Community group website,Information source
1,Logistic Land Investments LLC developer,Rock Mountain Lake Rd,Bessemer,AL,35022,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/700-acre-data-center-in-bessemer-alabama-approved-despite-opposition/,https://www.youtube.com/watch?v=ICSrvQ7meow&ab_channel=InsideClimateNews,https://www.al.com/news/2025/06/14-billion-proposed-data-center-near-birmingham-hits-another-hurdle.html,https://www.wbrc.com/2025/09/14/bessemer-residents-frustrated-over-proposed-data-center/,,,,,33.342000,-87.034100,9/16/2025,9/16/2025,5,,18,,"4,500,000",,675,,100 acres to be cleared,Proposed,,,,Yes,,Media Monitoring
2,DC Blox,433 6th St S,Birmingham,AL,35233,High,,,,Google Maps only,,,,,,,,,33.500510,-86.821000,8/25/2025,8/25/2025,1,,,,,,,,,Operating,,,,,,Media Monitoring
3,Google data center,48809 Alabama 277,Bridgeport,AL,35740,High,,Google,,Google Maps and other sources,https://www.madeinalabama.com/2018/04/google-kicks-off-construction-on-alabama-data-center/,https://claycorp.com/work/mission-critical,,,,,,,34.920190,-85.744600,7/15/2025,7/15/2025,1,,,,"270,000",,360,$600 million,,Unknown,,,,,,Media Monitoring
4,DC Blox,333 Diamond Dr NW,Huntsville,AL,35806,High,,,,Google Maps only,,,,,,,,,34.710030,-86.693000,8/25/2025,8/25/2025,1,,,,,,,,,Operating,,,,,,Media Monitoring
5,Meta Data Center,5400 Prosperity Dr NW,Huntsville,AL,35810,High,,Meta,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/meta-to-build-800m-data-center-in-montgomery-alabama/,,,,,,,,34.840650,-86.629500,8/11/2025,8/11/2025,1,,,,,,,,,Operating,,,,,,Media Monitoring
6,Meta Data Center,~1125 Hyundai Blvd,Montgomery,AL,36105,Medium,,Meta,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/meta-to-build-800m-data-center-in-montgomery-alabama/,,,,,,,,32.276040,-86.328700,8/11/2025,8/11/2025,1,,,,"715,000",,,$800 million,,Approved/Permitted/Under construction,,,,,,Media Monitoring
7,Data center,Graham Street 202,Harrison,AR,72601,High,,,,Google Maps and other sources,https://invest.jll.com/us/en/listings/special-purpose-facility/8-asset-switch-portfolio,,,,,,,,36.214720,-93.078600,5/27/2025,5/27/2025,1,,,,"34,623",,,,,Unknown,,,,,,Media Monitoring
8,Data center,Little Rock Port,Little Rock,AR,72206,Medium,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/mystery-developer-plans-1bn-data-center-in-little-rock-arkansas/,,,,,,,,34.716810,-92.173700,5/27/2025,5/27/2025,1,,,,,,,$1 billion,,Unknown,,,,,,Media Monitoring
9,Brightspeed data center,214 S Denver Ave,Russellville,AR,72801,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/brightspeed-data-center-up-for-sale-leaseback-in-arkansas/,,,,,,,,35.277460,-93.137200,5/27/2025,5/27/2025,1,,,,"44,650",,,,,Unknown,,,,,,Media Monitoring
10,Groot LLC/ Google,Bollinger Rd,West Memphis/Proctor,AR,72376,High,,Google,,Google Maps and other sources,https://wreg.com/news/local/data-center-deal-comes-as-area-emerges-as-tech-hub/,https://rbnenergy.com/i-know-places-tech-giants-may-be-the-surest-bets-for-data-center-power-demand,https://www.arkansasedc.com/news-events/newsroom/detail/2025/10/02/google-locating-new-data-center-in-west-memphis--arkansas-with-multi-billion-dollar-investment,,,,,,35.118350,-90.212300,5/23/2025,11/3/2025,1,,,,,,920,$10 billion,,Approved/Permitted/Under construction,,,,,,Media Monitoring
11,Prime data center,West Broadway Rd and S. Avondale Blvd,Avondale,AZ,85353,Medium,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/prime-and-vantage-buy-land-phoenix-arizona/,,,,,,,,33.407560,-112.311000,5/28/2025,5/28/2025,5,,5,,"1,300,000",,66,$29 million,,Unknown,,,,,,Media Monitoring
12,H5 data center,2600 W Germann Rd,Chandler,AZ,85286,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/h5-data-centers-expanding-phoenix-data-center-by-30000-sq-ft/,,,,,,,,33.277160,-111.886000,5/28/2025,5/28/2025,3,,,,"210,000",,,,,Unknown,,,,,,Media Monitoring
16,Compass Data Center,850 S Bullard Ave,Goodyear,AZ,85338,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/compass-datacenters-starts-build-hyperscale-arizona-campus/,,,,,,,,33.441230,-112.377000,5/28/2025,5/28/2025,1,,,,,,,,,Unknown,,,,,,Media Monitoring
