subbasin,huc8,area_m2,huc8_id,pca_name,internal_mwh,colocation_mwh,hyperscale_mwh,total_mwh,scarcity_factor,plant_state,lat,lon,primary_fuel,co2_tons,water_intensity_m3_per_mwh,carbon_intensity_tons_per_mwh,water_footprint,carbon_footprint
Upper St. John,1010001.0,17222890136.6,1010001,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,,ME,47.358139,-68.330855,PUR,0.0,1.61,0.0,,0.0
Allagash,1010002.0,3198097222.04,1010002,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.3347061894256325,,,,,,,,788598.8135945752,
Allagash,1010002.0,3198097222.04,1010002,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.3347061894256325,,,,,,,,365.5355953399164,
Fish,1010003.0,2304014818.42,1010003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.3111713905544553,,,,,,,,733148.6454938715,
Fish,1010003.0,2304014818.42,1010003,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.3111713905544553,,,,,,,,339.83303294827476,
Aroostook,1010004.0,6324223755.5,1010004,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.30920527965277944,ME,46.848,-68.0026,WAT,0.0,5.397952537569031,0.0,728516.3059272874,0.0
Aroostook,1010004.0,6324223755.5,1010004,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.30920527965277944,ME,46.6334,-68.4361,WDS,8561.637,1.93755189619717,0.031025145130780772,728516.3059272874,73098.11833392867
Aroostook,1010004.0,6324223755.5,1010004,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.30920527965277944,ME,46.77285,-67.84849,WDS,6326.489,1.93755189619717,0.03565665509389724,728516.3059272874,84010.385203964
Aroostook,1010004.0,6324223755.5,1010004,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.30920527965277944,ME,46.556477,-68.325538,WAT,0.0,0.0,0.0,728516.3059272874,0.0
Aroostook,1010004.0,6324223755.5,1010004,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.30920527965277944,ME,46.848,-68.0026,WAT,0.0,5.397952537569031,0.0,337.6858258106306,0.0
Aroostook,1010004.0,6324223755.5,1010004,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.30920527965277944,ME,46.6334,-68.4361,WDS,8561.637,1.93755189619717,0.031025145130780772,337.6858258106306,33.882835914532855
Aroostook,1010004.0,6324223755.5,1010004,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.30920527965277944,ME,46.77285,-67.84849,WDS,6326.489,1.93755189619717,0.03565665509389724,337.6858258106306,38.94094898556912
Aroostook,1010004.0,6324223755.5,1010004,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.30920527965277944,ME,46.556477,-68.325538,WAT,0.0,0.0,0.0,337.6858258106306,0.0
Meduxnekeag,1010005.0,1936076711.9,1010005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.2774457113587591,ME,46.54422,-67.8111,WND,0.0,0.0038,0.0,653687.8185308656,0.0
